date,site,practice,N_pest,N_para,N_pred
2019-05-03,B,conv,4,3,4
2019-05-03,B,conv,6,3,3
2019-05-03,B,conv,7,5,4
2019-05-03,C,conv,4,6,8
2019-05-03,C,conv,9,2,7
2019-05-03,D,orga,9,8,10
2019-05-03,D,orga,16,7,9
2019-05-03,D,orga,12,8,4
2019-05-03,D,orga,17,6,13
2019-05-03,E,orga,8,8,10
2019-05-03,E,orga,18,9,9
2019-05-03,E,orga,11,10,9
2019-05-03,E,orga,11,5,4
2019-05-03,F,orga,16,8,6
2019-05-03,F,orga,13,10,8
2019-05-03,F,orga,13,8,23
2019-05-03,F,orga,13,24,7
2019-05-10,A,conv,7,5,3
2019-05-10,A,conv,8,5,4
2019-05-10,A,conv,2,4,3
2019-05-10,A,conv,5,5,6
2019-05-10,B,conv,4,3,5
2019-05-10,B,conv,6,4,3
2019-05-10,B,conv,7,5,7
2019-05-10,B,conv,9,3,5
2019-05-10,C,conv,6,9,6
2019-05-10,C,conv,15,6,4
2019-05-10,C,conv,2,12,7
2019-05-10,C,conv,12,4,3
2019-05-10,D,orga,14,11,19
2019-05-10,D,orga,11,10,9
2019-05-10,D,orga,13,15,6
2019-05-10,D,orga,13,11,17
2019-05-10,E,orga,9,16,8
2019-05-10,E,orga,5,7,10
2019-05-10,F,orga,22,13,17
2019-05-10,F,orga,10,9,17
2019-05-17,A,conv,6,6,2
2019-05-17,A,conv,5,1,6
2019-05-17,A,conv,3,2,2
2019-05-17,A,conv,7,2,1
2019-05-17,B,conv,5,4,9
2019-05-17,B,conv,6,3,1
2019-05-17,B,conv,6,4,5
2019-05-17,B,conv,11,5,6
2019-05-17,C,conv,6,8,16
2019-05-17,D,orga,13,10,9
2019-05-17,D,orga,9,14,11
2019-05-17,E,orga,16,10,11
2019-05-17,E,orga,13,8,4
2019-05-17,E,orga,21,13,4
2019-05-17,E,orga,21,12,10
2019-05-17,F,orga,25,23,21
2019-05-17,F,orga,26,20,13
2019-05-17,F,orga,18,16,17
2019-05-24,A,conv,8,3,2
2019-05-24,A,conv,7,6,2
2019-05-24,B,conv,4,4,1
2019-05-24,B,conv,10,4,3
2019-05-24,B,conv,11,3,4
2019-05-24,B,conv,2,3,3
2019-05-24,C,conv,8,7,8
2019-05-24,C,conv,7,5,5
2019-05-24,C,conv,9,5,15
2019-05-24,D,orga,17,12,5
2019-05-24,D,orga,16,13,12
2019-05-24,D,orga,15,12,7
2019-05-24,E,orga,18,15,9
2019-05-24,E,orga,14,11,10
2019-05-24,E,orga,20,7,8
2019-05-24,F,orga,19,19,21
2019-05-24,F,orga,11,14,14
2019-05-24,F,orga,21,20,15
2019-05-31,A,conv,3,0,7
2019-05-31,A,conv,10,4,4
2019-05-31,A,conv,8,2,5
2019-05-31,B,conv,13,2,3
2019-05-31,B,conv,7,4,7
2019-05-31,B,conv,8,6,5
2019-05-31,C,conv,6,7,6
2019-05-31,C,conv,7,10,7
2019-05-31,C,conv,8,10,8
2019-05-31,C,conv,4,4,3
2019-05-31,D,orga,21,12,12
2019-05-31,D,orga,13,12,12
2019-05-31,D,orga,8,17,14
2019-05-31,D,orga,11,8,11
2019-05-31,E,orga,9,10,11
2019-05-31,E,orga,5,12,8
2019-05-31,E,orga,14,8,9
2019-05-31,E,orga,18,7,9
2019-05-31,F,orga,23,19,16
2019-05-31,F,orga,19,19,23
2019-05-31,F,orga,25,16,14
2019-05-31,F,orga,19,23,13
2019-06-07,A,conv,2,6,3
2019-06-07,A,conv,3,3,7
2019-06-07,A,conv,4,4,4
2019-06-07,B,conv,2,5,6
2019-06-07,B,conv,3,4,3
2019-06-07,B,conv,8,10,5
2019-06-07,B,conv,2,8,6
2019-06-07,C,conv,6,7,3
2019-06-07,C,conv,3,11,12
2019-06-07,C,conv,8,8,8
2019-06-07,D,orga,12,14,13
2019-06-07,D,orga,13,23,12
2019-06-07,D,orga,8,8,13
2019-06-07,E,orga,3,12,9
2019-06-07,E,orga,9,10,11
2019-06-07,E,orga,8,14,13
2019-06-07,E,orga,13,15,18
2019-06-07,F,orga,13,17,22
2019-06-07,F,orga,11,24,20
2019-06-07,F,orga,16,20,23
2019-06-07,F,orga,14,16,15
2019-06-14,A,conv,7,2,4
2019-06-14,A,conv,5,6,4
2019-06-14,A,conv,4,5,8
2019-06-14,B,conv,5,6,3
2019-06-14,B,conv,7,6,8
2019-06-14,B,conv,9,5,4
2019-06-14,C,conv,9,5,9
2019-06-14,C,conv,14,5,6
2019-06-14,C,conv,13,8,7
2019-06-14,C,conv,5,10,10
2019-06-14,D,orga,14,15,12
2019-06-14,D,orga,10,11,11
2019-06-14,D,orga,12,10,19
2019-06-14,D,orga,7,6,6
2019-06-14,E,orga,8,10,11
2019-06-14,E,orga,20,12,10
2019-06-14,F,orga,16,15,13
2019-06-14,F,orga,19,17,25
2019-06-14,F,orga,21,23,21
2019-06-14,F,orga,15,11,21
2019-06-21,A,conv,3,4,4
2019-06-21,A,conv,8,2,0
2019-06-21,A,conv,3,1,4
2019-06-21,B,conv,7,7,5
2019-06-21,B,conv,8,5,0
2019-06-21,B,conv,3,2,3
2019-06-21,C,conv,12,5,8
2019-06-21,C,conv,9,11,5
2019-06-21,C,conv,10,8,12
2019-06-21,D,orga,7,14,10
2019-06-21,D,orga,14,11,12
2019-06-21,D,orga,11,9,6
2019-06-21,D,orga,10,12,10
2019-06-21,E,orga,13,3,5
2019-06-21,E,orga,8,12,6
2019-06-21,E,orga,11,9,6
2019-06-21,E,orga,5,4,6
2019-06-21,F,orga,17,9,17
2019-06-21,F,orga,16,10,12
2019-06-21,F,orga,15,13,11
2019-06-28,A,conv,2,3,2
2019-06-28,A,conv,6,3,2
2019-06-28,A,conv,4,5,5
2019-06-28,A,conv,5,3,3
2019-06-28,B,conv,4,0,2
2019-06-28,B,conv,1,3,6
2019-06-28,B,conv,4,8,10
2019-06-28,C,conv,7,7,8
2019-06-28,C,conv,4,6,2
2019-06-28,C,conv,12,2,5
2019-06-28,D,orga,13,17,14
2019-06-28,D,orga,8,15,12
2019-06-28,D,orga,17,9,11
2019-06-28,D,orga,12,6,10
2019-06-28,E,orga,12,7,8
2019-06-28,E,orga,10,8,9
2019-06-28,E,orga,11,8,7
2019-06-28,F,orga,20,22,19
2019-06-28,F,orga,12,19,17
2019-06-28,F,orga,16,20,13
2019-06-28,F,orga,13,13,9
2019-07-05,A,conv,9,6,0
2019-07-05,A,conv,6,9,5
2019-07-05,A,conv,1,7,5
2019-07-05,A,conv,7,5,4
2019-07-05,B,conv,4,7,11
2019-07-05,B,conv,9,8,7
2019-07-05,C,conv,9,7,8
2019-07-05,C,conv,8,7,5
2019-07-05,C,conv,11,11,12
2019-07-05,C,conv,4,7,7
2019-07-05,D,orga,12,8,14
2019-07-05,D,orga,16,14,4
2019-07-05,D,orga,7,13,15
2019-07-05,E,orga,15,11,12
2019-07-05,E,orga,16,10,8
2019-07-05,E,orga,14,9,8
2019-07-05,E,orga,10,8,16
2019-07-05,F,orga,26,24,20
2019-07-05,F,orga,28,20,20
2019-07-12,A,conv,5,2,6
2019-07-12,A,conv,9,9,5
2019-07-12,A,conv,10,5,4
2019-07-12,B,conv,4,3,7
2019-07-12,B,conv,8,6,11
2019-07-12,B,conv,4,7,4
2019-07-12,C,conv,12,3,12
2019-07-12,C,conv,14,8,8
2019-07-12,C,conv,10,7,5
2019-07-12,C,conv,13,6,6
2019-07-12,D,orga,29,18,10
2019-07-12,D,orga,7,11,12
2019-07-12,D,orga,15,14,15
2019-07-12,E,orga,17,14,9
2019-07-12,E,orga,11,14,11
2019-07-12,E,orga,15,14,14
2019-07-12,F,orga,18,18,13
2019-07-12,F,orga,21,23,16
2019-07-12,F,orga,19,18,11
2019-07-19,A,conv,6,6,6
2019-07-19,A,conv,9,10,4
2019-07-19,A,conv,10,5,9
2019-07-19,B,conv,6,7,3
2019-07-19,B,conv,6,8,3
2019-07-19,B,conv,12,7,7
2019-07-19,B,conv,3,6,6
2019-07-19,C,conv,9,5,9
2019-07-19,D,orga,18,24,13
2019-07-19,D,orga,14,10,15
2019-07-19,E,orga,22,13,8
2019-07-19,E,orga,18,9,15
2019-07-19,E,orga,20,14,9
2019-07-19,E,orga,15,12,15
2019-07-19,F,orga,19,18,25
2019-07-19,F,orga,25,31,25
2019-07-19,F,orga,30,29,17
2019-07-19,F,orga,24,21,25
2019-07-26,A,conv,8,5,8
2019-07-26,A,conv,4,5,8
2019-07-26,A,conv,11,8,4
2019-07-26,B,conv,15,6,7
2019-07-26,B,conv,10,8,5
2019-07-26,B,conv,14,6,4
2019-07-26,B,conv,4,9,9
2019-07-26,C,conv,9,12,11
2019-07-26,C,conv,13,10,8
2019-07-26,C,conv,13,8,7
2019-07-26,C,conv,9,11,6
2019-07-26,D,orga,20,17,26
2019-07-26,D,orga,13,18,16
2019-07-26,D,orga,23,6,16
2019-07-26,E,orga,19,20,6
2019-07-26,E,orga,30,21,18
2019-07-26,E,orga,17,17,14
2019-07-26,F,orga,34,19,23
2019-07-26,F,orga,25,24,18
2019-07-26,F,orga,32,23,25
2019-07-26,F,orga,30,23,24
2019-08-02,A,conv,18,4,11
2019-08-02,A,conv,8,6,6
2019-08-02,A,conv,16,5,8
2019-08-02,A,conv,6,2,6
2019-08-02,B,conv,5,6,8
2019-08-02,B,conv,4,8,2
2019-08-02,B,conv,11,6,7
2019-08-02,B,conv,9,2,6
2019-08-02,C,conv,19,9,13
2019-08-02,C,conv,9,8,5
2019-08-02,C,conv,6,8,9
2019-08-02,D,orga,21,15,15
2019-08-02,D,orga,22,20,8
2019-08-02,D,orga,23,13,14
2019-08-02,D,orga,17,18,23
2019-08-02,E,orga,21,16,12
2019-08-02,E,orga,25,7,16
2019-08-02,F,orga,29,24,25
2019-08-02,F,orga,34,25,25
2019-08-09,A,conv,14,9,1
2019-08-09,A,conv,10,8,3
2019-08-09,A,conv,11,13,5
2019-08-09,B,conv,6,6,2
2019-08-09,B,conv,8,5,6
2019-08-09,B,conv,7,2,8
2019-08-09,B,conv,10,6,8
2019-08-09,C,conv,21,16,8
2019-08-09,C,conv,12,11,15
2019-08-09,C,conv,11,9,4
2019-08-09,D,orga,16,13,11
2019-08-09,D,orga,30,15,15
2019-08-09,D,orga,17,19,10
2019-08-09,E,orga,17,17,10
2019-08-09,E,orga,20,17,21
2019-08-09,E,orga,23,20,16
2019-08-09,E,orga,18,17,11
2019-08-09,F,orga,33,25,25
2019-08-09,F,orga,40,25,21
2019-08-16,A,conv,12,2,4
2019-08-16,A,conv,8,3,2
2019-08-16,A,conv,9,2,4
2019-08-16,B,conv,15,3,3
2019-08-16,B,conv,11,5,5
2019-08-16,B,conv,7,1,8
2019-08-16,C,conv,14,10,6
2019-08-16,C,conv,12,11,8
2019-08-16,C,conv,14,3,6
2019-08-16,D,orga,14,7,12
2019-08-16,D,orga,15,11,14
2019-08-16,D,orga,18,16,10
2019-08-16,D,orga,17,15,18
2019-08-16,E,orga,21,13,10
2019-08-16,E,orga,16,11,14
2019-08-16,E,orga,15,12,10
2019-08-16,E,orga,13,11,3
2019-08-16,F,orga,31,15,12
2019-08-16,F,orga,23,25,12
2019-08-16,F,orga,22,18,19
2019-08-23,A,conv,8,6,6
2019-08-23,A,conv,9,6,7
2019-08-23,B,conv,11,3,4
2019-08-23,B,conv,12,2,9
2019-08-23,B,conv,4,5,4
2019-08-23,B,conv,5,9,8
2019-08-23,C,conv,9,10,6
2019-08-23,C,conv,13,10,10
2019-08-23,C,conv,7,4,10
2019-08-23,D,orga,16,12,12
2019-08-23,D,orga,23,13,17
2019-08-23,D,orga,10,10,16
2019-08-23,D,orga,18,6,18
2019-08-23,E,orga,15,22,10
2019-08-23,E,orga,18,13,17
2019-08-23,E,orga,21,14,11
2019-08-23,F,orga,34,19,19
2019-08-23,F,orga,23,19,22
2019-08-23,F,orga,20,28,21
2019-08-23,F,orga,25,24,19
2019-08-30,A,conv,8,10,14
2019-08-30,A,conv,10,11,8
2019-08-30,B,conv,8,5,9
2019-08-30,B,conv,10,8,14
2019-08-30,B,conv,6,16,7
2019-08-30,C,conv,14,11,15
2019-08-30,C,conv,13,15,9
2019-08-30,C,conv,13,13,19
2019-08-30,D,orga,16,25,18
2019-08-30,D,orga,23,13,16
2019-08-30,E,orga,15,28,19
2019-08-30,E,orga,17,26,12
2019-08-30,E,orga,17,21,26
2019-08-30,F,orga,23,26,31
2019-08-30,F,orga,30,31,31
2019-08-30,F,orga,37,30,30
2019-08-30,F,orga,36,37,39
2019-09-06,A,conv,5,10,8
2019-09-06,A,conv,3,14,13
2019-09-06,A,conv,7,12,13
2019-09-06,B,conv,4,11,11
2019-09-06,B,conv,6,9,5
2019-09-06,C,conv,16,13,12
2019-09-06,C,conv,12,9,10
2019-09-06,C,conv,13,13,15
2019-09-06,C,conv,16,9,10
2019-09-06,D,orga,17,20,21
2019-09-06,D,orga,19,11,12
2019-09-06,E,orga,16,18,19
2019-09-06,E,orga,16,18,29
2019-09-06,E,orga,13,27,26
2019-09-06,E,orga,8,19,24
2019-09-06,F,orga,29,32,24
2019-09-06,F,orga,27,26,34
2019-09-06,F,orga,33,27,34
2019-09-06,F,orga,34,43,35
2019-09-13,A,conv,5,10,4
2019-09-13,A,conv,2,13,8
2019-09-13,A,conv,8,10,15
2019-09-13,B,conv,7,8,9
2019-09-13,B,conv,9,11,7
2019-09-13,C,conv,6,7,8
2019-09-13,D,orga,12,14,14
2019-09-13,D,orga,17,15,26
2019-09-13,D,orga,15,21,19
2019-09-13,E,orga,8,10,17
2019-09-13,E,orga,14,11,12
2019-09-13,E,orga,14,18,22
2019-09-13,F,orga,18,20,24
2019-09-13,F,orga,21,24,23
2019-09-13,F,orga,20,23,35
2019-09-13,F,orga,12,26,20
2019-09-20,A,conv,5,5,9
2019-09-20,A,conv,2,3,11
2019-09-20,A,conv,5,4,3
2019-09-20,B,conv,9,7,11
2019-09-20,B,conv,10,7,11
2019-09-20,C,conv,10,18,11
2019-09-20,C,conv,11,15,11
2019-09-20,C,conv,4,11,14
2019-09-20,C,conv,5,7,16
2019-09-20,D,orga,12,16,19
2019-09-20,D,orga,18,25,19
2019-09-20,D,orga,9,15,12
2019-09-20,D,orga,12,20,21
2019-09-20,E,orga,14,28,25
2019-09-20,E,orga,17,20,22
2019-09-20,E,orga,8,18,16
2019-09-20,F,orga,21,26,26
2019-09-20,F,orga,22,27,24
2019-09-20,F,orga,17,23,29
2019-09-20,F,orga,15,27,32
2019-09-27,A,conv,7,9,6
2019-09-27,A,conv,5,5,10
2019-09-27,A,conv,1,14,10
2019-09-27,B,conv,8,16,6
2019-09-27,B,conv,4,7,8
2019-09-27,C,conv,10,12,10
2019-09-27,C,conv,4,12,13
2019-09-27,C,conv,8,10,9
2019-09-27,D,orga,14,26,16
2019-09-27,D,orga,19,23,20
2019-09-27,D,orga,14,22,16
2019-09-27,E,orga,16,18,17
2019-09-27,E,orga,20,20,21
2019-09-27,E,orga,21,25,11
2019-09-27,E,orga,14,19,17
2019-09-27,F,orga,22,24,21
2019-09-27,F,orga,25,19,29
